golferId,position,firstName,lastName,representsCountryName,overallPar,totalStrokes,isAmateur,age,imageUrl,representsCountryUrl,R1,R2,R3,R4,R3_pairing,R4_pairing,college (at graduation),name
58207,1,Jon,Rahm,Spain,-6,278,False,28,https://images.thegolfchannel.com/images/eventphoto/p-t/483994.jpg,https://images.thegolfchannel.com/images/element2008/475833.gif,69,70,72,67,33,32,Arizona State University,Jon Rahm
21550,2,Louis,Oosthuizen,South Africa,-5,279,False,40,https://static.golfchannel.com/GC/2018/headshots/Oosthuizen_Louis/Oosthuizen_Louis_L_closeup.jpg,https://images.thegolfchannel.com/images/element2008/475845sa.png,67,71,70,71,34,35,,Louis Oosthuizen
34793,3,Harris,English,United States,-3,281,False,33,https://static.golfchannel.com/GC/2018/headshots/English_Harris/English_Harris_R_closeup.jpg,https://images.thegolfchannel.com/images/element2008/475851.gif,72,70,71,68,28,26,University of Georgia,Harris English
56859,T4,Guido,Migliozzi,Italy,-2,282,False,26,https://static.golfchannel.com/GC/2018/headshots/Migliozzi_Guido/Migliozzi_Guido_L_closeup.jpg,https://images.thegolfchannel.com/images/element2008/475731.gif,71,70,73,68,30,22,,Guido Migliozzi
53772,T4,Brooks,Koepka,United States,-2,282,False,33,https://static.golfchannel.com/GC/2018/headshots/Koepka_Brooks/Koepka_Brooks_L_closeup.jpg,https://images.thegolfchannel.com/images/element2008/475851.gif,69,73,71,69,26,27,Florida State University,Brooks Koepka
61683,T4,Collin,Morikawa,United States,-2,282,False,26,https://images.thegolfchannel.com/images/eventphoto/k-o/483973.jpg,https://images.thegolfchannel.com/images/element2008/475851.gif,75,67,70,70,27,31,"University of California, Berkeley",Collin Morikawa
59503,T7,Xander,Schauffele,United States,-1,283,False,29,https://images.thegolfchannel.com/images/eventphoto/p-t/483991.jpg,https://images.thegolfchannel.com/images/element2008/475851.gif,69,71,72,71,31,30,San Diego State University,Xander Schauffele
55749,T7,Daniel,Berger,United States,-1,283,False,30,https://static.golfchannel.com/GC/2018/headshots/Berger_Daniel/Berger_Daniel_L_closeup.jpg,https://images.thegolfchannel.com/images/element2008/475851.gif,71,72,72,68,21,21,Florida State University,Daniel Berger
37456,T7,Branden,Grace,South Africa,-1,283,False,34,https://static.golfchannel.com/GC/2018/headshots/Grace_Branden/Grace_Branden_L_closeup.jpg,https://images.thegolfchannel.com/images/element2008/475845sa.png,72,70,74,67,28,16,,Branden Grace
56855,T7,Scottie,Scheffler,United States,-1,283,False,26,https://images.thegolfchannel.com/images/eventphoto/p-t/483984.jpg,https://images.thegolfchannel.com/images/element2008/475851.gif,72,69,70,72,31,33,University of Texas,Scottie Scheffler
13186,T7,Paul,Casey,England,-1,283,False,45,https://static.golfchannel.com/GC/2018/headshots/Casey_Paul/Casey_Paul_L_closeup.jpg,https://images.thegolfchannel.com/images/element/476063.gif,71,75,67,70,5,29,Arizona State University,Paul Casey
29449,T7,Rory,McIlroy,Northern Ireland,-1,283,False,34,https://static.golfchannel.com/GC/2018/headshots/McIlroy_Rory/McIlroy_Rory_L_closeup.jpg,https://images.thegolfchannel.com/images/element/476067.gif,70,73,67,73,24,34,,Rory McIlroy
12874,T13,Francesco,Molinari,Italy,0,284,False,40,https://static.golfchannel.com/GC/2018/headshots/Molinari_Fransisco/Molinari_Francesco_L_closeup.jpg,https://images.thegolfchannel.com/images/element2008/475731.gif,68,76,69,71,17,28,,Francesco Molinari
30560,T13,Russell,Henley,United States,0,284,False,34,https://static.golfchannel.com/GC/2018/headshots/Henley_Russell/Henley_Russell_L_closeup.jpg,https://images.thegolfchannel.com/images/element2008/475851.gif,67,70,71,76,35,34,University of Georgia,Russell Henley
54053,T15,Mackenzie,Hughes,Canada,1,285,False,32,https://static.golfchannel.com/GC/2018/headshots/Hughes_Mackenzie/Hughes_Mackenzie_L_closeup.jpg,https://images.thegolfchannel.com/images/element2008/475635.gif,73,67,68,77,32,35,Kent State University,Mackenzie Hughes
21719,T15,Kevin,Streelman,United States,1,285,False,44,https://static.golfchannel.com/GC/2018/headshots/Streelman_Kevin/Streelman_Kevin_L_closeup.jpg,https://images.thegolfchannel.com/images/element2008/475851.gif,71,69,72,73,32,29,Duke University,Kevin Streelman
