golferId,position,name,country,age,overallPar,R1,R2,R3,R4,R3_pairing,R4_pairing,college,profile,flag
58207,1,Jon Rahm,Spain,28,-6,69,70,72,67,33,32,Arizona State University,https://images.thegolfchannel.com/images/eventphoto/p-t/483994.jpg,https://images.thegolfchannel.com/images/element2008/475833.gif
21550,2,Louis Oosthuizen,South Africa,40,-5,67,71,70,71,34,35,,https://static.golfchannel.com/GC/2018/headshots/Oosthuizen_Louis/Oosthuizen_Louis_L_closeup.jpg,https://images.thegolfchannel.com/images/element2008/475845sa.png
34793,3,Harris English,United States,33,-3,72,70,71,68,28,26,University of Georgia,https://static.golfchannel.com/GC/2018/headshots/English_Harris/English_Harris_R_closeup.jpg,https://images.thegolfchannel.com/images/element2008/475851.gif
56859,T4,Guido Migliozzi,Italy,26,-2,71,70,73,68,30,22,,https://static.golfchannel.com/GC/2018/headshots/Migliozzi_Guido/Migliozzi_Guido_L_closeup.jpg,https://images.thegolfchannel.com/images/element2008/475731.gif
53772,T4,Brooks Koepka,United States,33,-2,69,73,71,69,26,27,Florida State University,https://static.golfchannel.com/GC/2018/headshots/Koepka_Brooks/Koepka_Brooks_L_closeup.jpg,https://images.thegolfchannel.com/images/element2008/475851.gif
61683,T4,Collin Morikawa,United States,26,-2,75,67,70,70,27,31,"University of California, Berkeley",https://images.thegolfchannel.com/images/eventphoto/k-o/483973.jpg,https://images.thegolfchannel.com/images/element2008/475851.gif
59503,T7,Xander Schauffele,United States,29,-1,69,71,72,71,31,30,San Diego State University,https://images.thegolfchannel.com/images/eventphoto/p-t/483991.jpg,https://images.thegolfchannel.com/images/element2008/475851.gif
55749,T7,Daniel Berger,United States,30,-1,71,72,72,68,21,21,Florida State University,https://static.golfchannel.com/GC/2018/headshots/Berger_Daniel/Berger_Daniel_L_closeup.jpg,https://images.thegolfchannel.com/images/element2008/475851.gif
37456,T7,Branden Grace,South Africa,34,-1,72,70,74,67,28,16,,https://static.golfchannel.com/GC/2018/headshots/Grace_Branden/Grace_Branden_L_closeup.jpg,https://images.thegolfchannel.com/images/element2008/475845sa.png
56855,T7,Scottie Scheffler,United States,26,-1,72,69,70,72,31,33,University of Texas,https://images.thegolfchannel.com/images/eventphoto/p-t/483984.jpg,https://images.thegolfchannel.com/images/element2008/475851.gif
13186,T7,Paul Casey,England,45,-1,71,75,67,70,5,29,Arizona State University,https://static.golfchannel.com/GC/2018/headshots/Casey_Paul/Casey_Paul_L_closeup.jpg,https://images.thegolfchannel.com/images/element/476063.gif
29449,T7,Rory McIlroy,Northern Ireland,34,-1,70,73,67,73,24,34,,https://static.golfchannel.com/GC/2018/headshots/McIlroy_Rory/McIlroy_Rory_L_closeup.jpg,https://images.thegolfchannel.com/images/element/476067.gif
12874,T13,Francesco Molinari,Italy,40,0,68,76,69,71,17,28,,https://static.golfchannel.com/GC/2018/headshots/Molinari_Fransisco/Molinari_Francesco_L_closeup.jpg,https://images.thegolfchannel.com/images/element2008/475731.gif
30560,T13,Russell Henley,United States,34,0,67,70,71,76,35,34,University of Georgia,https://static.golfchannel.com/GC/2018/headshots/Henley_Russell/Henley_Russell_L_closeup.jpg,https://images.thegolfchannel.com/images/element2008/475851.gif
54053,T15,Mackenzie Hughes,Canada,32,1,73,67,68,77,32,35,Kent State University,https://static.golfchannel.com/GC/2018/headshots/Hughes_Mackenzie/Hughes_Mackenzie_L_closeup.jpg,https://images.thegolfchannel.com/images/element2008/475635.gif
21719,T15,Kevin Streelman,United States,44,1,71,69,72,73,32,29,Duke University,https://static.golfchannel.com/GC/2018/headshots/Streelman_Kevin/Streelman_Kevin_L_closeup.jpg,https://images.thegolfchannel.com/images/element2008/475851.gif
40805,T15,Patrick Cantlay,United States,31,1,70,75,71,69,12,19,UCLA,https://images.thegolfchannel.com/images/eventphoto/a-e/483982.jpg,https://images.thegolfchannel.com/images/element2008/475851.gif
65800,T15,Matthew Wolff,United States,24,1,70,68,73,74,34,32,Oklahoma State University,https://images.thegolfchannel.com/images/affiliatesite/483649.png,https://images.thegolfchannel.com/images/element2008/475851.gif
35289,T19,Dustin Johnson,United States,38,2,71,73,68,74,19,31,Coastal Carolina University,https://static.golfchannel.com/GC/2018/headshots/Johnson_Dustin/Johnson_Dustin_L_closeup.jpg,https://images.thegolfchannel.com/images/element2008/475851.gif
11121,T19,Sergio Garcia,Spain,43,2,71,74,73,68,13,11,,https://static.golfchannel.com/GC/2018/headshots/Garcia_Sergio/Garcia_Sergio_L_closeup.jpg,https://images.thegolfchannel.com/images/element2008/475833.gif
21541,T19,Charl Schwartzel,South Africa,38,2,71,74,71,70,15,18,,https://static.golfchannel.com/GC/2018/headshots/Schwartzel_Charl/Schwartzel_Charl_L_Closeup.jpg,https://images.thegolfchannel.com/images/element2008/475845sa.png
40755,T19,Jordan Spieth,United States,29,2,77,69,68,72,5,25,,https://images.thegolfchannel.com/images/eventphoto/p-t/483976.jpg,https://images.thegolfchannel.com/images/element2008/475851.gif
39746,T19,Patrick Reed,United States,32,2,72,73,74,67,13,7,Augusta State University,https://static.golfchannel.com/GC/2018/headshots/Reed_Patrick/Reed_Patrick_L_closeup.jpg,https://images.thegolfchannel.com/images/element2008/475851.gif
24377,T19,Brian Harman,United States,36,2,72,71,71,72,22,23,University of Georgia,https://static.golfchannel.com/GC/2018/headshots/Harman_Brian/Harman_Brian_L_closeup.jpg,https://images.thegolfchannel.com/images/element2008/475851.gif
40949,T19,Justin Thomas,United States,30,2,73,69,71,73,27,26,University of Alabama,https://images.thegolfchannel.com/images/eventphoto/p-t/483977.jpg,https://images.thegolfchannel.com/images/element2008/475851.gif
40566,T26,Chris Baker,United States,37,3,74,71,69,73,11,24,Iowa State University,https://static.golfchannel.com/GC/2018/headshots/Baker_Chris/Baker_Chris_L_closeup.jpg,https://images.thegolfchannel.com/images/element2008/475851.gif
23957,T26,Martin Kaymer,Germany,38,3,77,68,69,73,9,25,,https://static.golfchannel.com/GC/2018/headshots/Kaymer_Martin/Kaymer_Martin_L_Closeup.jpg,https://images.thegolfchannel.com/images/element2008/475711.gif
65028,T26,Rikuya Hoshino,Japan,27,3,69,74,73,71,23,17,,https://static.golfchannel.com/GC/2018/headshots/Hoshino_Rikuya/Hoshino_Rikuya_L_closeup.jpg,https://images.thegolfchannel.com/images/element2008/475733.gif
42724,T26,Hideki Matsuyama,Japan,31,3,69,76,74,68,14,6,Tohoku Fukushi University,https://images.thegolfchannel.com/images/eventphoto/k-o/483975.jpg,https://images.thegolfchannel.com/images/element2008/475733.gif
59146,T26,Bryson DeChambeau,United States,29,3,73,69,68,77,29,33,Southern Methodist University,https://static.golfchannel.com/GC/2018/headshots/DeChambeau_Bryson/DeChambeau_Bryson_L_closeup.jpg,https://images.thegolfchannel.com/images/element2008/475851.gif
56542,T31,Christiaan Bezuidenhout,South Africa,28,4,72,70,70,76,29,30,,https://images.thegolfchannel.com/images/eventphoto/a-e/483972.jpg,https://images.thegolfchannel.com/images/element2008/475845sa.png
61709,T31,Dylan Wu,United States,26,4,70,73,74,71,22,14,Northwestern University,https://images.thegolfchannel.com/images/affiliatesite/483124.jpg,https://images.thegolfchannel.com/images/element2008/475851.gif
65812,T31,Joaquin Niemann,Chile,24,4,75,69,71,73,20,21,,https://static.golfchannel.com/GC/2018/headshots/Niemann_Joaquin/Niemann_Joaquin_L_closeup.jpg,https://images.thegolfchannel.com/images/element2008/475643.gif
40811,T31,Patrick Rodgers,United States,30,4,70,71,77,70,30,9,Stanford University,https://static.golfchannel.com/GC/2018/headshots/Rodgers_Patrick/Rodgers_Patrick_L_closeup.jpg,https://images.thegolfchannel.com/images/element2008/475851.gif
12875,T35,Edoardo Molinari,Italy,42,5,70,76,72,71,4,12,,https://static.golfchannel.com/GC/2018/headshots/Molinari_Edoardo/Molinari_Edoardo_L_closeup.jpg,https://images.thegolfchannel.com/images/element2008/475731.gif
64778,T35,Sungjae Im,South Korea,25,5,72,72,69,76,18,27,Korea National Sport University,https://images.thegolfchannel.com/images/eventphoto/f-j/483987.jpg,https://images.thegolfchannel.com/images/element2008/475741.gif
12290,T35,Adam Scott,Australia,42,5,70,75,71,73,14,19,"University of Nevada, Las Vegas",https://images.thegolfchannel.com/images/eventphoto/p-t/483968.jpg,https://images.thegolfchannel.com/images/element2008/475608.gif
68117,T35,Robert MacIntyre,Scotland,26,5,71,73,72,73,20,18,McNeese State University,https://images.thegolfchannel.com/images/headshot-player-large/483545.png,https://images.thegolfchannel.com/images/element2008/475842.png
43232,T35,Lanto Griffin,United States,34,5,76,69,69,75,12,24,Virgina Commonwealth University,https://static.golfchannel.com/GC/2018/headshots/Griffin_Lanto/Griffin_Lanto_L_closeup.jpg,https://images.thegolfchannel.com/images/element2008/475851.gif
20571,T40,Chez Reavie,United States,41,6,76,68,72,74,21,17,Arizona State University,https://static.golfchannel.com/GC/2018/headshots/Reavie_Chez/Reavie_Chez_L_closeup.jpg,https://images.thegolfchannel.com/images/element2008/475851.gif
13307,T40,Wade Ormsby,Australia,43,6,72,74,73,71,7,8,University of Houston,https://static.golfchannel.com/GC/2018/headshots/Ormsby_Wade/Ormsby_Wade_R_closeup.jpg,https://images.thegolfchannel.com/images/element2008/475608.gif
43344,T40,Si-Woo Kim,South Korea,27,6,71,75,70,74,1,20,Yonsei University,https://images.thegolfchannel.com/images/eventphoto/k-o/483986.jpg,https://images.thegolfchannel.com/images/element2008/475741.gif
61053,T40,J.T. Poston,United States,29,6,72,73,71,74,7,20,Western Carolina University,https://static.golfchannel.com/GC/2018/headshots/Poston_JT/Poston_JT_L_closeup.jpg,https://images.thegolfchannel.com/images/element2008/475851.gif
39737,T40,Adam Hadwin,Canada,35,6,70,72,75,73,26,14,University of Louisville,https://static.golfchannel.com/GC/2018/headshots/Hadwin_Adam/Hadwin_Adam_L_closeup.jpg,https://images.thegolfchannel.com/images/element2008/475635.gif
11875,T40,Ian Poulter,England,47,6,74,71,68,77,8,28,,https://static.golfchannel.com/GC/2018/headshots/Poulter_Ian/Poulter_Ian_L_closeup.jpg,https://images.thegolfchannel.com/images/element/476063.gif
37455,T46,Dylan Frittelli,South Africa,32,7,73,72,72,74,8,15,University of Texas,https://static.golfchannel.com/GC/2018/headshots/Frittelli_Dylan/Frittelli_Dylan_L_closeup.jpg,https://images.thegolfchannel.com/images/element2008/475845sa.png
35191,T46,Tom Hoge,United States,33,7,72,71,76,72,25,5,Texas Christian University,https://static.golfchannel.com/GC/2018/headshots/Hoge_Tom/Hoge_Tom_L_closeup.jpg,https://images.thegolfchannel.com/images/element2008/475851.gif
11117,T46,Lee Westwood,England,49,7,71,72,71,77,25,23,,https://static.golfchannel.com/GC/2018/headshots/Westwood_Lee/Westwood_Lee_L_closeup.jpg,https://images.thegolfchannel.com/images/element/476063.gif
57441,T46,Rick Lamb,United States,32,7,71,75,74,71,4,4,University of Tennessee,https://static.golfchannel.com/GC/2018/headshots/Lamb_Rick/Lamb_Rick_L_closeup.jpg,https://images.thegolfchannel.com/images/element2008/475851.gif
12103,T50,Richard Bland,England,50,8,70,67,77,78,35,22,,https://static.golfchannel.com/GC/2018/headshots/Bland_Richard/Bland_Richard_L_closeup.jpg,https://images.thegolfchannel.com/images/element/476063.gif
20442,T50,Bubba Watson,United States,44,8,72,67,77,76,33,16,University of Georgia,https://static.golfchannel.com/GC/2018/headshots/Watson_Bubba/Watson_Bubba_L_closeup.jpg,https://images.thegolfchannel.com/images/element2008/475851.gif
22156,T50,Rafa Cabrera-Bello,Spain,38,8,68,76,74,74,16,11,University of Las Palmas,https://static.golfchannel.com/GC/2018/headshots/Cabrera-Bello_Rafa/Cabrera Bello_Rafa_R_candid.jpg,https://images.thegolfchannel.com/images/element2008/475833.gif
39840,T50,Tommy Fleetwood,England,32,8,72,73,74,73,10,7,,https://static.golfchannel.com/GC/2018/headshots/Fleetwood_Tommy/Fleetwood_Tommy_L_closeup.jpg,https://images.thegolfchannel.com/images/element/476063.gif
30986,T50,Gary Woodland,United States,38,8,74,71,73,74,9,12,University of Kansas,https://static.golfchannel.com/GC/2018/headshots/Woodland_Gary/Woodland_Gary_L_closeup.jpg,https://images.thegolfchannel.com/images/element2008/475851.gif
55868,T55,Matt Fitzpatrick,England,28,9,70,75,72,76,10,15,Northwestern University,https://static.golfchannel.com/GC/2018/headshots/Fitzpatrick_Matthew/Fitzpatrick_Matthew_L_closeup.jpg,https://images.thegolfchannel.com/images/element/476063.gif
25558,T55,Kevin Kisner,United States,39,9,73,73,72,75,2,13,University of Georgia,https://images.thegolfchannel.com/images/eventphoto/k-o/483978.jpg,https://images.thegolfchannel.com/images/element2008/475851.gif
70572,T57,Akshay Bhatia,United States,21,10,73,73,73,75,0,9,,https://static.golfchannel.com/GC/2018/headshots/Bhatia_Akshay/Bhatia_Akshay_L_closeup.jpg,https://images.thegolfchannel.com/images/element2008/475851.gif
23244,T57,Jhonattan Vegas,Venezuela,38,10,75,69,74,76,17,10,University of Texas,https://static.golfchannel.com/GC/2018/headshots/Vegas_Jhonattan/Vegas_Jhonattan_R_Closeup.jpg,https://images.thegolfchannel.com/images/element2008/475634.gif
66512,T57,Taylor Montgomery,United States,28,10,70,76,74,74,6,4,"University of Nevada, Las Vegas",https://images.thegolfchannel.com/images/eventphoto/k-o/483998.jpg,https://images.thegolfchannel.com/images/element2008/475851.gif
11390,T57,Stewart Cink,United States,49,10,73,72,74,75,15,6,Georgia Tech,https://static.golfchannel.com/GC/2018/headshots/Cink_Stewart/Cink_Stewart_L_closeup.jpg,https://images.thegolfchannel.com/images/element2008/475851.gif
12218,T57,Charley Hoffman,United States,46,10,72,71,75,76,23,10,"University of Nevada, Las Vegas",https://static.golfchannel.com/GC/2018/headshots/Hoffman_Charley/Hoffman_Charley_L_closeup.jpg,https://images.thegolfchannel.com/images/element2008/475851.gif
