pairing,firstName,lastName
0,Wilco,Nienaber
1,Fabián,Gómez
1,Jimmy,Walker
2,Matt,Jones
2,Kyle,Westmoreland
3,Phil,Mickelson
3,Greyson,Sigg
4,Taylor,Montgomery
4,Rick,Lamb
5,Tom,Hoge
5,Marc,Leishman
6,Stewart,Cink
6,Hideki,Matsuyama
7,Patrick,Reed
7,Tommy,Fleetwood
8,Wade,Ormsby
8,Troy,Merritt
9,Akshay,Bhatia
9,Patrick,Rodgers
10,Charley,Hoffman
10,Jhonattan,Vegas
11,Rafa,Cabrera Bello
11,Sergio,Garcia
12,Gary,Woodland
12,Edoardo,Molinari
13,Shane,Lowry
13,Kevin,Kisner
14,Adam,Hadwin
14,Dylan,Wu
15,Matt,Fitzpatrick
15,Dylan,Frittelli
16,Bubba,Watson
16,Branden,Grace
17,Rikuya,Hoshino
17,Chez,Reavie
18,Robert,MacIntyre
18,Charl,Schwartzel
19,Adam,Scott
19,Patrick,Cantlay
20,J.T.,Poston
20,Si Woo,Kim
21,Daniel,Berger
21,Joaquin,Niemann
22,Richard,Bland
22,Guido,Migliozzi
23,Lee,Westwood
23,Brian,Harman
24,Lanto,Griffin
24,Chris,Baker
25,Martin,Kaymer
25,Jordan,Spieth
26,Harris,English
26,Justin,Thomas
27,Brooks,Koepka
27,Sungjae,Im
28,Francesco,Molinari
28,Ian,Poulter
29,Paul,Casey
29,Kevin,Streelman
30,Xander,Schauffele
30,Christiaan,Bezuidenhout
31,Collin,Morikawa
31,Dustin,Johnson
32,Matthew,Wolff
32,Jon,Rahm
33,Scottie,Scheffler
33,Bryson,DeChambeau
34,Rory,McIlroy
34,Russell,Henley
35,Louis,Oosthuizen
35,Mackenzie,Hughes
